Area Name,Area Code,Value,Year
Ipswich,E07000202,2229,2004
Isle of Wight,E06000046,1716,2004
Isles of Scilly,E06000053,31,2004
Islington,E09000019,4800,2004
Kensington and Chelsea,E09000020,2427,2004
Kettering,E07000153,1183,2004
King`s Lynn and West Norfolk,E07000146,1498,2004
Kingston upon Hull City of,E06000010,7542,2004
Kingston upon Thames,E09000021,2615,2004
Kirklees,E08000034,5672,2004
Knowsley,E08000011,2199,2004
Lambeth,E09000022,6863,2004
Lancaster,E07000121,2429,2004
Leeds,E08000035,9959,2004
Leicester,E06000016,7959,2004
Lewes,E07000063,1207,2004
Lewisham,E09000023,5706,2004
Lichfield,E07000194,1052,2004
Lincoln,E07000138,2072,2004
Liverpool,E08000012,10230,2004
Luton,E06000032,3135,2004
Maidstone,E07000110,1442,2004
Maldon,E07000074,432,2004
Manchester,E08000003,9402,2004
Mansfield,E07000174,2003,2004
Medway,E06000035,3328,2004
Melton,E07000133,441,2004
Merton,E09000024,2736,2004
Mid Sussex,E07000228,1087,2004
Middlesbrough,E06000002,2711,2004
Milton Keynes,E06000042,3353,2004
Mole Valley,E07000210,441,2004
New Forest,E07000091,1583,2004
Newark and Sherwood,E07000175,1020,2004
Newcastle upon Tyne,E08000021,4217,2004
Newcastle-under-Lyme,E07000195,2319,2004
Newham,E09000025,5817,2004
North East Derbyshire,E07000038,840,2004
North East Lincolnshire,E06000012,4284,2004
North Hertfordshire,E07000099,1269,2004
North Kesteven,E07000139,587,2004
North Lincolnshire,E06000013,2749,2004
North Norfolk,E07000147,747,2004
North Somerset,E06000024,2875,2004
North Tyneside,E08000022,1935,2004
North Warwickshire,E07000218,489,2004
North West Leicestershire,E07000134,1088,2004
Northampton,E07000154,3784,2004
Northumberland,E06000057,2824,2004
Norwich,E07000148,2978,2004
Nottingham,E06000018,7208,2004
Nuneaton and Bedworth,E07000219,1749,2004
Oadby and Wigston,E07000135,571,2004
Oldham,E08000004,2754,2004
Oxford,E07000178,2249,2004
Pendle,E07000122,1238,2004
Peterborough,E06000031,3691,2004
Plymouth,E06000026,5602,2004
Poole,E06000029,1531,2004
Portsmouth,E06000044,4507,2004
Preston,E07000123,2926,2004
Reading,E06000038,2950,2004
Redbridge,E09000026,3367,2004
Redcar and Cleveland,E06000003,1973,2004
Reigate and Banstead,E07000211,1129,2004
Ribble Valley,E07000124,361,2004
Richmond upon Thames,E09000027,1723,2004
Rochdale,E08000005,3409,2004
Rochford,E07000075,495,2004
Rossendale,E07000125,911,2004
Rother,E07000064,981,2004
Rotherham,E08000018,2631,2004
Rugby,E07000220,935,2004
Runnymede,E07000212,496,2004
Rushmoor,E07000092,1389,2004
Rutland,E06000017,226,2004
Salford,E08000006,3067,2004
Sandwell,E08000028,3562,2004
Sefton,E08000014,3526,2004
Sevenoaks,E07000111,640,2004
Sheffield,E08000019,6468,2004
Shepway,E07000112,1329,2004
Shropshire,E06000051,2519,2004
Slough,E06000039,2209,2004
Solihull,E08000029,2018,2004
South Bucks,E07000006,456,2004
South Cambridgeshire,E07000012,778,2004
South Derbyshire,E07000039,801,2004
South Gloucestershire,E06000025,2178,2004
South Holland,E07000140,775,2004
South Kesteven,E07000141,1392,2004
South Lakeland,E07000031,980,2004
South Norfolk,E07000149,891,2004
South Oxfordshire,E07000179,947,2004
South Ribble,E07000126,1244,2004
South Staffordshire,E07000196,899,2004
South Tyneside,E08000023,1689,2004
Southampton,E06000045,4959,2004
Southend-on-Sea,E06000033,2199,2004
Southwark,E09000028,6681,2004
Spelthorne,E07000213,1030,2004
St Albans,E07000240,1250,2004
St. Helens,E08000013,3258,2004
Stafford,E07000197,1529,2004
Staffordshire Moorlands,E07000198,1174,2004
Stevenage,E07000243,1452,2004
Stockport,E08000007,3209,2004
Stockton-on-Tees,E06000004,2740,2004
Stoke-on-Trent,E06000021,6000,2004
Stroud,E07000082,1026,2004
Suffolk Coastal,E07000205,980,2004
Sunderland,E08000024,4069,2004
Surrey Heath,E07000214,464,2004
Sutton,E09000029,2541,2004
Swale,E07000113,1491,2004
Swindon,E06000030,1759,2004
Tameside,E08000008,3554,2004
Tamworth,E07000199,1685,2004
Tandridge,E07000215,407,2004
Telford and Wrekin,E06000020,2769,2004
Tendring,E07000076,1328,2004
Test Valley,E07000093,1177,2004
Tewkesbury,E07000083,656,2004
Thanet,E07000114,2245,2004
Three Rivers,E07000102,654,2004
Thurrock,E06000034,2069,2004
Tonbridge and Malling,E07000115,906,2004
Torbay,E06000027,2609,2004
Tower Hamlets,E09000030,5232,2004
Trafford,E08000009,2206,2004
Tunbridge Wells,E07000116,890,2004
Uttlesford,E07000077,317,2004
Vale of White Horse,E07000180,812,2004
Wakefield,E08000036,5061,2004
Walsall,E08000030,3532,2004
Waltham Forest,E09000031,4344,2004
Wandsworth,E09000032,4238,2004
Warrington,E06000007,2491,2004
Watford,E07000103,1586,2004
Waveney,E07000206,1469,2004
Waverley,E07000216,642,2004
Wealden,E07000065,1050,2004
Wellingborough,E07000156,978,2004
Welwyn Hatfield,E07000241,1459,2004
West Berkshire,E06000037,928,2004
West Lancashire,E07000127,1113,2004
West Lindsey,E07000142,670,2004
West Oxfordshire,E07000181,633,2004
Westminster,E09000033,6790,2004
Wigan,E08000010,3374,2004
Wiltshire,E06000054,2756,2004
Winchester,E07000094,1026,2004
Windsor and Maidenhead,E06000040,1344,2004
Wirral,E08000015,5120,2004
Woking,E07000217,765,2004
Wokingham,E06000041,1020,2004
Wolverhampton,E08000031,3930,2004
Worthing,E07000229,1526,2004
Wycombe,E07000007,1520,2004
Wyre,E07000128,1105,2004
York,E06000014,2837,2004
Adur,E07000223,649,2005
Allerdale,E07000026,1243,2005
Amber Valley,E07000032,1358,2005
Arun,E07000224,1736,2005
Ashfield,E07000170,1672,2005
Ashford,E07000105,1232,2005
Aylesbury Vale,E07000004,1452,2005
Barking and Dagenham,E09000002,3862,2005
Barnet,E09000003,4242,2005
Barnsley,E08000016,3275,2005
Barrow-in-Furness,E07000027,1383,2005
Basildon,E07000066,1585,2005
Basingstoke and Deane,E07000084,1966,2005
Bassetlaw,E07000171,1631,2005
Bath and North East Somerset,E06000022,2032,2005
Bedford,E06000055,1922,2005
Bexley,E09000004,3220,2005
Birmingham,E08000025,17460,2005
Blaby,E07000129,652,2005
Blackburn with Darwen,E06000008,2609,2005
Blackpool,E06000009,3966,2005
Bolsover,E07000033,940,2005
Bolton,E08000001,3923,2005
Boston,E07000136,716,2005
Bournemouth,E06000028,3436,2005
Bracknell Forest,E06000036,1237,2005
Bradford,E08000032,8235,2005
Braintree,E07000067,1149,2005
Breckland,E07000143,1115,2005
Brent,E09000005,5329,2005
Brentwood,E07000068,638,2005
Brighton and Hove,E06000043,4725,2005
Bristol City of,E06000023,9266,2005
Broadland,E07000144,665,2005
Bromley,E09000006,4048,2005
Broxbourne,E07000095,1124,2005
Burnley,E07000117,1752,2005
Bury,E08000002,2076,2005
Calderdale,E08000033,3628,2005
Cambridge,E07000008,1454,2005
Camden,E09000007,4993,2005
Cannock Chase,E07000192,1677,2005
Canterbury,E07000106,1572,2005
Carlisle,E07000028,1608,2005
Castle Point,E07000069,579,2005
Central Bedfordshire,E06000056,1937,2005
Charnwood,E07000130,1994,2005
Chelmsford,E07000070,1460,2005
Cheltenham,E07000078,1922,2005
Cherwell,E07000177,1360,2005
Cheshire East,E06000049,4325,2005
Cheshire West and Chester,E06000050,5015,2005
Chesterfield,E07000034,1636,2005
Chichester,E07000225,906,2005
Chiltern,E07000005,684,2005
Chorley,E07000118,1064,2005
City of London,E09000001,459,2005
Colchester,E07000071,1944,2005
Copeland,E07000029,1055,2005
Corby,E07000150,1204,2005
Cornwall,E06000052,4959,2005
Cotswold,E07000079,553,2005
County Durham,E06000047,6061,2005
Coventry,E08000026,5184,2005
Crawley,E07000226,1520,2005
Croydon,E09000008,5709,2005
Dacorum,E07000096,1443,2005
Darlington,E06000005,1233,2005
Derby,E06000015,4324,2005
Derbyshire Dales,E07000035,520,2005
Doncaster,E08000017,6833,2005
Dover,E07000108,1485,2005
Dudley,E08000027,3388,2005
Ealing,E09000009,5597,2005
East Cambridgeshire,E07000009,404,2005
East Hampshire,E07000085,872,2005
East Hertfordshire,E07000242,1104,2005
East Lindsey,E07000137,1418,2005
East Northamptonshire,E07000152,696,2005
East Riding of Yorkshire,E06000011,3237,2005
East Staffordshire,E07000193,1733,2005
Eastbourne,E07000061,1792,2005
Eastleigh,E07000086,1335,2005
Eden,E07000030,436,2005
Elmbridge,E07000207,899,2005
Enfield,E09000010,3879,2005
Epping Forest,E07000072,1136,2005
Epsom and Ewell,E07000208,568,2005
Erewash,E07000036,1393,2005
Exeter,E07000041,1842,2005
Fareham,E07000087,1011,2005
Fenland,E07000010,908,2005
Forest of Dean,E07000080,813,2005
Fylde,E07000119,593,2005
Gateshead,E08000037,1848,2005
Gloucester,E07000081,2348,2005
Gosport,E07000088,1259,2005
Great Yarmouth,E07000145,1729,2005
Greenwich,E09000011,5566,2005
Guildford,E07000209,1126,2005
Hackney,E09000012,5378,2005
Halton,E06000006,2250,2005
Hammersmith and Fulham,E09000013,3290,2005
Harborough,E07000131,490,2005
Haringey,E09000014,4744,2005
Harlow,E07000073,1470,2005
Harrow,E09000015,2222,2005
Hart,E07000089,527,2005
Hartlepool,E06000001,2135,2005
Hastings,E07000062,2267,2005
Havant,E07000090,1801,2005
Havering,E09000016,3132,2005
Herefordshire County of,E06000019,1560,2005
Hertsmere,E07000098,847,2005
High Peak,E07000037,1119,2005
Hillingdon,E09000017,4111,2005
Hinckley and Bosworth,E07000132,1031,2005
Horsham,E07000227,817,2005
Hounslow,E09000018,4252,2005
Huntingdonshire,E07000011,1110,2005
Hyndburn,E07000120,1192,2005
Ipswich,E07000202,2126,2005
Isle of Wight,E06000046,1817,2005
Isles of Scilly,E06000053,18,2005
Islington,E09000019,4360,2005
Kensington and Chelsea,E09000020,2393,2005
Kettering,E07000153,1175,2005
King`s Lynn and West Norfolk,E07000146,1367,2005
Kingston upon Hull City of,E06000010,7144,2005
Kingston upon Thames,E09000021,2593,2005
Kirklees,E08000034,6363,2005
Knowsley,E08000011,1944,2005
Lambeth,E09000022,6539,2005
Lancaster,E07000121,2192,2005
Leeds,E08000035,11300,2005
Leicester,E06000016,7390,2005
Lewes,E07000063,1016,2005
Lewisham,E09000023,6108,2005
Lichfield,E07000194,1021,2005
Lincoln,E07000138,1918,2005
Liverpool,E08000012,9614,2005
Luton,E06000032,3524,2005
Maidstone,E07000110,1676,2005
Maldon,E07000074,403,2005
Manchester,E08000003,9096,2005
Mansfield,E07000174,2007,2005
Medway,E06000035,4222,2005
Melton,E07000133,405,2005
Merton,E09000024,2668,2005
Mid Sussex,E07000228,1010,2005
Middlesbrough,E06000002,3219,2005
Milton Keynes,E06000042,3175,2005
Mole Valley,E07000210,488,2005
New Forest,E07000091,1504,2005
Newark and Sherwood,E07000175,1137,2005
Newcastle upon Tyne,E08000021,3649,2005
Newcastle-under-Lyme,E07000195,2180,2005
Newham,E09000025,5743,2005
North East Derbyshire,E07000038,807,2005
North East Lincolnshire,E06000012,3871,2005
North Hertfordshire,E07000099,1195,2005
North Kesteven,E07000139,571,2005
North Lincolnshire,E06000013,2940,2005
North Norfolk,E07000147,886,2005
North Somerset,E06000024,2497,2005
North Tyneside,E08000022,1618,2005
North Warwickshire,E07000218,472,2005
North West Leicestershire,E07000134,1072,2005
Northampton,E07000154,3514,2005
Northumberland,E06000057,2430,2005
Norwich,E07000148,2819,2005
Nottingham,E06000018,7271,2005
Nuneaton and Bedworth,E07000219,1521,2005
Oadby and Wigston,E07000135,587,2005
Oldham,E08000004,2349,2005
Oxford,E07000178,2254,2005
Pendle,E07000122,1290,2005
Peterborough,E06000031,3002,2005
Plymouth,E06000026,5132,2005
Poole,E06000029,1666,2005
Portsmouth,E06000044,4454,2005
Preston,E07000123,2718,2005
Reading,E06000038,2697,2005
Redbridge,E09000026,2908,2005
Redcar and Cleveland,E06000003,2216,2005
Reigate and Banstead,E07000211,1089,2005
Ribble Valley,E07000124,339,2005
Richmond upon Thames,E09000027,1757,2005
Rochdale,E08000005,2935,2005
Rochford,E07000075,440,2005
Rossendale,E07000125,774,2005
Rother,E07000064,926,2005
Rotherham,E08000018,3776,2005
Rugby,E07000220,936,2005
Runnymede,E07000212,503,2005
Rushmoor,E07000092,1271,2005
Rutland,E06000017,232,2005
Salford,E08000006,2905,2005
Sandwell,E08000028,3652,2005
Sefton,E08000014,3166,2005
Sevenoaks,E07000111,709,2005
Sheffield,E08000019,7169,2005
Shepway,E07000112,1452,2005
Shropshire,E06000051,2006,2005
Slough,E06000039,1895,2005
Solihull,E08000029,2438,2005
South Bucks,E07000006,510,2005
South Cambridgeshire,E07000012,555,2005
South Derbyshire,E07000039,732,2005
South Gloucestershire,E06000025,2439,2005
South Holland,E07000140,797,2005
South Kesteven,E07000141,1165,2005
South Lakeland,E07000031,878,2005
South Norfolk,E07000149,851,2005
South Oxfordshire,E07000179,928,2005
South Ribble,E07000126,1063,2005
South Staffordshire,E07000196,1060,2005
South Tyneside,E08000023,1936,2005
Southampton,E06000045,5116,2005
Southend-on-Sea,E06000033,2226,2005
Southwark,E09000028,6401,2005
Spelthorne,E07000213,950,2005
St Albans,E07000240,1144,2005
St. Helens,E08000013,3181,2005
Stafford,E07000197,1754,2005
Staffordshire Moorlands,E07000198,1214,2005
Stevenage,E07000243,1515,2005
Stockport,E08000007,2965,2005
Stockton-on-Tees,E06000004,3058,2005
Stoke-on-Trent,E06000021,5745,2005
Stroud,E07000082,1101,2005
Suffolk Coastal,E07000205,890,2005
Sunderland,E08000024,3813,2005
Surrey Heath,E07000214,551,2005
Sutton,E09000029,2345,2005
Swale,E07000113,1889,2005
Swindon,E06000030,1950,2005
Tameside,E08000008,3745,2005
Tamworth,E07000199,1593,2005
Tandridge,E07000215,444,2005
Telford and Wrekin,E06000020,2523,2005
Tendring,E07000076,1433,2005
Test Valley,E07000093,1123,2005
Tewkesbury,E07000083,739,2005
Thanet,E07000114,2512,2005
Three Rivers,E07000102,635,2005
Thurrock,E06000034,1843,2005
Tonbridge and Malling,E07000115,1001,2005
Torbay,E06000027,2289,2005
Tower Hamlets,E09000030,4921,2005
Trafford,E08000009,2176,2005
Tunbridge Wells,E07000116,862,2005
Uttlesford,E07000077,311,2005
Vale of White Horse,E07000180,749,2005
Wakefield,E08000036,5676,2005
Walsall,E08000030,3775,2005
Waltham Forest,E09000031,4651,2005
Wandsworth,E09000032,4418,2005
Warrington,E06000007,2927,2005
Watford,E07000103,1491,2005
Waveney,E07000206,1628,2005
Waverley,E07000216,623,2005
Wealden,E07000065,994,2005
Wellingborough,E07000156,1003,2005
Welwyn Hatfield,E07000241,1163,2005
West Berkshire,E06000037,1073,2005
West Lancashire,E07000127,910,2005
West Lindsey,E07000142,610,2005
West Oxfordshire,E07000181,642,2005
Westminster,E09000033,6271,2005
Wigan,E08000010,2774,2005
Wiltshire,E06000054,3405,2005
Winchester,E07000094,943,2005
Windsor and Maidenhead,E06000040,1401,2005
Wirral,E08000015,4653,2005
Woking,E07000217,904,2005
Wokingham,E06000041,1025,2005
Wolverhampton,E08000031,3948,2005
Worthing,E07000229,1472,2005
Wycombe,E07000007,1614,2005
Wyre,E07000128,1007,2005
York,E06000014,2746,2005
Adur,E07000223,615,2006
Allerdale,E07000026,1128,2006
Amber Valley,E07000032,1446,2006
Arun,E07000224,1901,2006
Ashfield,E07000170,1678,2006
Ashford,E07000105,1211,2006
Aylesbury Vale,E07000004,1709,2006
Barking and Dagenham,E09000002,3529,2006
Barnet,E09000003,3813,2006
Barnsley,E08000016,3036,2006
Barrow-in-Furness,E07000027,1184,2006
Basildon,E07000066,1711,2006
Basingstoke and Deane,E07000084,2247,2006
Bassetlaw,E07000171,1779,2006
Bath and North East Somerset,E06000022,1969,2006
Bedford,E06000055,1910,2006
Bexley,E09000004,2900,2006
Birmingham,E08000025,17879,2006
Blaby,E07000129,666,2006
Blackburn with Darwen,E06000008,2299,2006
Blackpool,E06000009,3705,2006
Bolsover,E07000033,1102,2006
Bolton,E08000001,3870,2006
Boston,E07000136,778,2006
Bournemouth,E06000028,3197,2006
Bracknell Forest,E06000036,1310,2006
Bradford,E08000032,7532,2006
Braintree,E07000067,1004,2006
Breckland,E07000143,973,2006
Brent,E09000005,4399,2006
Brentwood,E07000068,625,2006
Brighton and Hove,E06000043,4931,2006
Bristol City of,E06000023,8913,2006
Broadland,E07000144,582,2006
Bromley,E09000006,3876,2006
Broxbourne,E07000095,1014,2006
Burnley,E07000117,1685,2006
Bury,E08000002,2146,2006
Calderdale,E08000033,3044,2006
Cambridge,E07000008,1495,2006
Camden,E09000007,4448,2006
Cannock Chase,E07000192,1789,2006
Canterbury,E07000106,1595,2006
Carlisle,E07000028,1501,2006
Castle Point,E07000069,497,2006
Central Bedfordshire,E06000056,1820,2006
Charnwood,E07000130,2064,2006
Chelmsford,E07000070,1427,2006
Cheltenham,E07000078,1814,2006
Cherwell,E07000177,1593,2006
Cheshire East,E06000049,3964,2006
Cheshire West and Chester,E06000050,4530,2006
Chesterfield,E07000034,1882,2006
Chichester,E07000225,874,2006
Chiltern,E07000005,732,2006
Chorley,E07000118,1108,2006
City of London,E09000001,462,2006
Colchester,E07000071,1758,2006
Copeland,E07000029,1014,2006
Corby,E07000150,1216,2006
Cornwall,E06000052,4794,2006
Cotswold,E07000079,583,2006
County Durham,E06000047,5707,2006
Coventry,E08000026,5405,2006
Crawley,E07000226,1669,2006
Croydon,E09000008,5227,2006
Dacorum,E07000096,1474,2006
Darlington,E06000005,1204,2006
Derby,E06000015,3843,2006
Derbyshire Dales,E07000035,548,2006
Doncaster,E08000017,6336,2006
Dover,E07000108,1548,2006
Dudley,E08000027,3669,2006
Ealing,E09000009,5059,2006
East Cambridgeshire,E07000009,402,2006
East Hampshire,E07000085,1031,2006
East Hertfordshire,E07000242,1103,2006
East Lindsey,E07000137,1503,2006
East Northamptonshire,E07000152,649,2006
East Riding of Yorkshire,E06000011,3344,2006
East Staffordshire,E07000193,1791,2006
Eastbourne,E07000061,1775,2006
Eastleigh,E07000086,1470,2006
Eden,E07000030,426,2006
Elmbridge,E07000207,1089,2006
Enfield,E09000010,3819,2006
Epping Forest,E07000072,1061,2006
Epsom and Ewell,E07000208,686,2006
Erewash,E07000036,1308,2006
Exeter,E07000041,1602,2006
Fareham,E07000087,1150,2006
Fenland,E07000010,980,2006
Forest of Dean,E07000080,840,2006
Fylde,E07000119,536,2006
Gateshead,E08000037,2053,2006
Gloucester,E07000081,2385,2006
Gosport,E07000088,1322,2006
Great Yarmouth,E07000145,1629,2006
Greenwich,E09000011,5051,2006
Guildford,E07000209,1010,2006
Hackney,E09000012,4680,2006
Halton,E06000006,2109,2006
Hammersmith and Fulham,E09000013,3300,2006
Harborough,E07000131,438,2006
Haringey,E09000014,4034,2006
Harlow,E07000073,1315,2006
Harrow,E09000015,2159,2006
Hart,E07000089,559,2006
Hartlepool,E06000001,1874,2006
Hastings,E07000062,2436,2006
Havant,E07000090,2036,2006
Havering,E09000016,2746,2006
Herefordshire County of,E06000019,1658,2006
Hertsmere,E07000098,764,2006
High Peak,E07000037,1079,2006
Hillingdon,E09000017,3783,2006
Hinckley and Bosworth,E07000132,1053,2006
Horsham,E07000227,985,2006
Hounslow,E09000018,3909,2006
Huntingdonshire,E07000011,1184,2006
Hyndburn,E07000120,1080,2006
Ipswich,E07000202,1918,2006
Isle of Wight,E06000046,1889,2006
Isles of Scilly,E06000053,12,2006
Islington,E09000019,4163,2006
Kensington and Chelsea,E09000020,2287,2006
Kettering,E07000153,1057,2006
King`s Lynn and West Norfolk,E07000146,1170,2006
Kingston upon Hull City of,E06000010,7045,2006
Kingston upon Thames,E09000021,2319,2006
Kirklees,E08000034,5933,2006
Knowsley,E08000011,1324,2006
Lambeth,E09000022,5896,2006
Lancaster,E07000121,1958,2006
Leeds,E08000035,11244,2006
Leicester,E06000016,7276,2006
Lewes,E07000063,990,2006
Lewisham,E09000023,5630,2006
Lichfield,E07000194,960,2006
Lincoln,E07000138,1904,2006
Liverpool,E08000012,7662,2006
Luton,E06000032,3235,2006
Maidstone,E07000110,1810,2006
Maldon,E07000074,394,2006
Manchester,E08000003,9089,2006
Mansfield,E07000174,2164,2006
Medway,E06000035,4301,2006
Melton,E07000133,426,2006
Merton,E09000024,2396,2006
Mid Sussex,E07000228,1041,2006
Middlesbrough,E06000002,3044,2006
Milton Keynes,E06000042,3787,2006
Mole Valley,E07000210,526,2006
New Forest,E07000091,1579,2006
Newark and Sherwood,E07000175,1141,2006
Newcastle upon Tyne,E08000021,3966,2006
Newcastle-under-Lyme,E07000195,2018,2006
Newham,E09000025,5657,2006
North East Derbyshire,E07000038,798,2006
North East Lincolnshire,E06000012,4330,2006
North Hertfordshire,E07000099,1194,2006
North Kesteven,E07000139,531,2006
North Lincolnshire,E06000013,2705,2006
North Norfolk,E07000147,814,2006
North Somerset,E06000024,2721,2006
North Tyneside,E08000022,1837,2006
North Warwickshire,E07000218,470,2006
North West Leicestershire,E07000134,1088,2006
Northampton,E07000154,3177,2006
Northumberland,E06000057,2761,2006
Norwich,E07000148,2534,2006
Nottingham,E06000018,7242,2006
Nuneaton and Bedworth,E07000219,1767,2006
Oadby and Wigston,E07000135,558,2006
Oldham,E08000004,2859,2006
Oxford,E07000178,2529,2006
Pendle,E07000122,1011,2006
Peterborough,E06000031,2962,2006
Plymouth,E06000026,4924,2006
Poole,E06000029,1575,2006
Portsmouth,E06000044,4362,2006
Preston,E07000123,2454,2006
Reading,E06000038,2917,2006
Redbridge,E09000026,3016,2006
Redcar and Cleveland,E06000003,2020,2006
Reigate and Banstead,E07000211,1240,2006
Ribble Valley,E07000124,300,2006
Richmond upon Thames,E09000027,1613,2006
Rochdale,E08000005,2856,2006
Rochford,E07000075,410,2006
Rossendale,E07000125,672,2006
Rother,E07000064,893,2006
Rotherham,E08000018,3830,2006
Rugby,E07000220,1048,2006
Runnymede,E07000212,445,2006
Rushmoor,E07000092,1199,2006
Rutland,E06000017,209,2006
Salford,E08000006,3823,2006
Sandwell,E08000028,4087,2006
Sefton,E08000014,2777,2006
Sevenoaks,E07000111,734,2006
Sheffield,E08000019,7257,2006
Shepway,E07000112,1472,2006
Shropshire,E06000051,2032,2006
Slough,E06000039,2315,2006
Solihull,E08000029,2210,2006
South Bucks,E07000006,618,2006
South Cambridgeshire,E07000012,634,2006
South Derbyshire,E07000039,708,2006
South Gloucestershire,E06000025,2581,2006
South Holland,E07000140,692,2006
South Kesteven,E07000141,1199,2006
South Lakeland,E07000031,733,2006
South Norfolk,E07000149,756,2006
South Oxfordshire,E07000179,959,2006
South Ribble,E07000126,1226,2006
South Staffordshire,E07000196,1003,2006
South Tyneside,E08000023,1981,2006
Southampton,E06000045,5452,2006
Southend-on-Sea,E06000033,2079,2006
Southwark,E09000028,5553,2006
Spelthorne,E07000213,1053,2006
St Albans,E07000240,1054,2006
St. Helens,E08000013,2558,2006
Stafford,E07000197,1743,2006
Staffordshire Moorlands,E07000198,1164,2006
Stevenage,E07000243,1444,2006
Stockport,E08000007,2861,2006
Stockton-on-Tees,E06000004,2586,2006
Stoke-on-Trent,E06000021,5737,2006
Stroud,E07000082,1168,2006
Suffolk Coastal,E07000205,759,2006
Sunderland,E08000024,3860,2006
Surrey Heath,E07000214,537,2006
Sutton,E09000029,2441,2006
Swale,E07000113,1801,2006
Swindon,E06000030,2404,2006
Tameside,E08000008,3428,2006
Tamworth,E07000199,1533,2006
Tandridge,E07000215,476,2006
