CSPName,Violence (2015),Population (2015),Use
Hammersmith and Fulham,3470,179410,179.41
Harborough,382,89284,89.284
Haringey,4927,272864,272.864
Harlow,1460,85397,85.397
Harrow,2702,247130,247.13
Hart,958,93912,93.912
Hartlepool,1525,92493,92.493
Hastings,2083,91497,91.497
Havant,2470,122927,122.927
Havering,3297,249085,249.085
"Herefordshire, County of",2435,188099,188.099
Hertsmere,1024,102998,102.998
High Peak,773,91496,91.496
Hillingdon,4508,297735,297.735
Hinckley and Bosworth,766,108769,108.769
Horsham,1305,135868,135.868
Hounslow,4486,268770,268.77
Huntingdonshire,1491,174966,174.966
Hyndburn,1220,80228,80.228
Ipswich,2927,135600,135.6
Isle of Anglesey,865,69979,69.979
Isle of Wight,2771,139395,139.395
Isles of Scilly,19,2324,2.324
Islington,4570,227692,227.692
Kensington and Chelsea,2621,157711,157.711
Kettering,1486,97650,97.65
King's Lynn and West Norfolk,1819,151013,151.013
"Kingston upon Hull, City of",5592,258995,258.995
Kingston upon Thames,1910,173525,173.525
Kirklees,6139,434321,434.321
Knowsley,1693,147231,147.231
Lambeth,6715,324431,324.431
Lancaster,2274,142283,142.283
Leeds,14068,774060,774.06
Leicester,5224,342627,342.627
Lewes,1137,100693,100.693
Lewisham,5255,297325,297.325
Lichfield,963,102706,102.706
Lincoln,1526,97065,97.065
Liverpool,8572,478580,478.58
Luton,3650,214710,214.71
Maidstone,2535,164499,164.499
Maldon,532,62743,62.743
Manchester,10876,530292,530.292
Mansfield,2007,106556,106.556
Medway,5280,276492,276.492
Melton,320,50912,50.912
Merthyr Tydfil,905,59324,59.324
Merton,2585,204565,204.565
Mid Sussex,1130,145651,145.651
Middlesbrough,3382,139509,139.509
Milton Keynes,3506,261762,261.762
Mole Valley,740,86104,86.104
Monmouthshire,852,92476,92.476
Neath Port Talbot,2066,140992,140.992
New Forest,2132,179023,179.023
Newark and Sherwood,1341,118569,118.569
Newcastle upon Tyne,4861,292883,292.883
Newcastle-under-Lyme,1892,127045,127.045
Newham,6336,332817,332.817
Newport,2367,147769,147.769
North East Derbyshire,541,99639,99.639
North East Lincolnshire,3500,159570,159.57
North Hertfordshire,1223,131696,131.696
North Kesteven,439,111876,111.876
North Lincolnshire,2144,169820,169.82
North Norfolk,908,103308,103.308
North Somerset,2545,209944,209.944
North Tyneside,1961,202494,202.494
North Warwickshire,698,62787,62.787
North West Leicestershire,669,97247,97.247
North Worcestershire,4058,280014,280.014
North Yorkshire,5453,602277,602.277
Northampton,5333,222462,222.462
Northern Devon,1824,160437,160.437
Northumberland,2690,315263,315.263
Norwich,3219,138872,138.872
Nottingham,6237,318901,318.901
Nuneaton and Bedworth,2115,126319,126.319
Oadby and Wigston,390,55833,55.833
Oldham,3930,230823,230.823
Oxford,2255,159574,159.574
Pembrokeshire,1389,123464,123.464
Pendle,1053,90111,90.111
Peterborough,3522,193980,193.98
Plymouth,5203,262712,262.712
Poole,1489,150577,150.577
Portsmouth,6175,211758,211.758
Powys,1232,132642,132.642
Preston,2616,141302,141.302
Reading,2948,161739,161.739
Redbridge,3821,296793,296.793
Redcar and Cleveland,1764,135275,135.275
Reigate and Banstead,1796,144100,144.1
Rhondda Cynon Taf,3347,237411,237.411
Ribble Valley,449,58480,58.48
Richmond upon Thames,1731,194730,194.73
Rochdale,3783,214195,214.195
Rochford,628,85144,85.144
Rossendale,790,69487,69.487
Rother,953,92908,92.908
Rotherham,3208,260786,260.786
Rugby,1345,103443,103.443
Runnymede,982,85594,85.594
Rushmoor,2005,95342,95.342
Rutland,188,38046,38.046
South Devon and Dartmoor,2033,267681,267.681
Salford,2971,245614,245.614
Sandwell,3325,319455,319.455
Sefton,2901,273707,273.707
Sevenoaks,1010,118409,118.409
Sheffield,6251,569737,569.737
Shepway,1925,110034,110.034
Shropshire,3510,311380,311.38
Slough,2532,145734,145.734
Solihull,1640,210445,210.445
Somerset,6144,545390,545.39
South Bucks,584,69120,69.12
South Cambridgeshire,901,154888,154.888
South Derbyshire,738,99319,99.319
South Gloucestershire,2375,274661,274.661
South Holland,598,91214,91.214
South Kesteven,888,138909,138.909
South Lakeland,998,103454,103.454
South Norfolk,1128,131010,131.01
South Nottinghamshire,2448,342616,342.616
South Oxfordshire,912,137412,137.412
South Ribble,903,109651,109.651
South Staffordshire,992,110726,110.726
South Tyneside,2050,148671,148.671
South Warwickshire,2712,261453,261.453
South Worcester,4366,298579,298.579
Southampton,6906,249537,249.537
Southend-on-Sea,3131,178702,178.702
Southwark,5796,308901,308.901
Spelthorne,1304,98469,98.469
St Albans,1296,145797,145.797
St. Helens,2549,177612,177.612
Stafford,1599,132488,132.488
Staffordshire Moorlands,1064,97881,97.881
Stevenage,1547,86469,86.469
Stockport,3399,288733,288.733
Stockton-on-Tees,2570,194803,194.803
Stoke-on-Trent,6549,251648,251.648
Stroud,834,116627,116.627
Suffolk Coastal,962,125052,125.052
Western Suffolk,4208,365061,365.061
Sunderland,3492,277150,277.15
Surrey Heath,897,88067,88.067
Sutton,2315,200145,200.145
Swale,2285,142417,142.417
Swansea,3221,242382,242.382
Swindon,3880,217160,217.16
Tameside,3223,221692,221.692
Tamworth,1228,77141,77.141
Tandridge,792,86025,86.025
Telford and Wrekin,3516,171159,171.159
Tendring,2431,141183,141.183
Test Valley,1609,120712,120.712
Tewkesbury,454,86890,86.89
Thanet,3495,139772,139.772
Three Rivers,677,91674,91.674
Thurrock,2360,165184,165.184
Tonbridge and Malling,1376,125713,125.713
Torbay,2543,133373,133.373
Torfaen,1173,91836,91.836
Tower Hamlets,5579,295236,295.236
Trafford,2155,233288,233.288
Tunbridge Wells,1290,116241,116.241
Uttlesford,535,85119,85.119
Vale of Glamorgan,1342,127592,127.592
Vale of White Horse,838,126663,126.663
Wakefield,5521,333759,333.759
Walsall,3143,276095,276.095
Waltham Forest,4399,271170,271.17
Wandsworth,4533,314544,314.544
Warrington,2551,207695,207.695
Watford,1644,96403,96.403
Waveney,1646,116182,116.182
Waverley,967,123315,123.315
Wealden,1104,156501,156.501
Wellingborough,1167,77184,77.184
Welwyn Hatfield,1486,119016,119.016
West Berkshire,1384,156020,156.02
West Lancashire,1052,112742,112.742
West Lindsey,521,92812,92.812
West Oxfordshire,731,108611,108.611
Westminster,6730,242299,242.299
Wigan,3984,322022,322.022
Wiltshire,5225,486093,486.093
Winchester,1518,120696,120.696
Windsor and Maidenhead,1590,147708,147.708
Wirral,3930,320900,320.9
Woking,1158,99435,99.435
Wokingham,964,160409,160.409
Wolverhampton,3502,254406,254.406
Worthing,1679,107736,107.736
Wrexham,2416,136647,136.647
Wycombe,1646,176028,176.028
Wyre,1162,109745,109.745
City of York,2312,206856,206.856
